# Title: Southern Hemisphere Land 12-Month Period Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Date,Anomaly
191301,-0.10
191302,-0.13
191303,-0.21
191304,-0.20
191305,-0.24
191306,-0.23
191307,-0.20
191308,-0.14
191309,-0.14
191310,-0.11
191311,-0.11
191312,-0.07
191401,-0.05
191402,-0.02
191403,0.02
191404,0.06
191405,0.12
191406,0.17
191407,0.16
191408,0.08
191409,0.06
191410,0.02
191411,0.05
191412,0.01
191501,-0.03
191502,-0.03
191503,-0.02
191504,-0.01
191505,-0.03
191506,-0.05
191507,-0.02
191508,0.04
191509,0.10
191510,0.14
191511,0.12
191512,0.13
191601,0.13
191602,0.11
191603,0.09
191604,0.06
191605,0.07
191606,0.08
191607,0.01
191608,0.04
191609,0.02
191610,-0.03
191611,-0.10
191612,-0.14
191701,-0.14
191702,-0.20
191703,-0.27
191704,-0.31
191705,-0.40
191706,-0.50
191707,-0.46
191708,-0.53
191709,-0.55
191710,-0.56
191711,-0.57
191712,-0.53
191801,-0.57
191802,-0.57
191803,-0.57
191804,-0.59
191805,-0.52
191806,-0.48
191807,-0.51
191808,-0.50
191809,-0.50
191810,-0.47
191811,-0.41
191812,-0.39
191901,-0.32
191902,-0.28
191903,-0.21
191904,-0.09
191905,-0.07
191906,-0.04
191907,-0.04
191908,-0.10
191909,-0.10
191910,-0.18
191911,-0.20
191912,-0.21
192001,-0.21
192002,-0.22
192003,-0.27
192004,-0.39
192005,-0.41
192006,-0.44
192007,-0.45
192008,-0.39
192009,-0.37
192010,-0.30
192011,-0.29
192012,-0.32
192101,-0.33
192102,-0.33
192103,-0.29
192104,-0.26
192105,-0.21
192106,-0.19
192107,-0.17
192108,-0.14
192109,-0.15
192110,-0.16
192111,-0.18
192112,-0.16
192201,-0.18
192202,-0.18
192203,-0.19
192204,-0.14
192205,-0.21
192206,-0.21
192207,-0.24
192208,-0.30
192209,-0.29
192210,-0.28
192211,-0.20
192212,-0.24
192301,-0.22
192302,-0.18
192303,-0.16
192304,-0.19
192305,-0.15
192306,-0.13
192307,-0.16
192308,-0.20
192309,-0.26
192310,-0.31
192311,-0.37
192312,-0.32
192401,-0.33
192402,-0.36
192403,-0.37
192404,-0.41
192405,-0.46
192406,-0.48
192407,-0.48
192408,-0.48
192409,-0.45
192410,-0.42
192411,-0.43
192412,-0.49
192501,-0.52
192502,-0.54
192503,-0.58
192504,-0.52
192505,-0.47
192506,-0.48
192507,-0.47
192508,-0.44
192509,-0.52
192510,-0.54
192511,-0.51
192512,-0.46
192601,-0.40
192602,-0.32
192603,-0.24
192604,-0.22
192605,-0.26
192606,-0.23
192607,-0.20
192608,-0.20
192609,-0.10
192610,-0.04
192611,-0.04
192612,-0.05
192701,-0.07
192702,-0.12
192703,-0.13
192704,-0.22
192705,-0.24
192706,-0.22
192707,-0.23
192708,-0.12
192709,-0.13
192710,-0.17
192711,-0.14
192712,-0.15
192801,-0.17
192802,-0.20
192803,-0.23
192804,-0.15
192805,-0.11
192806,-0.09
192807,-0.11
192808,-0.19
192809,-0.13
192810,-0.12
192811,-0.15
192812,-0.10
192901,-0.04
192902,-0.03
192903,-0.02
192904,-0.10
192905,-0.10
192906,-0.21
192907,-0.26
192908,-0.25
192909,-0.31
192910,-0.32
192911,-0.32
192912,-0.37
193001,-0.43
193002,-0.43
193003,-0.47
193004,-0.42
193005,-0.39
193006,-0.32
193007,-0.21
193008,-0.24
193009,-0.26
193010,-0.27
193011,-0.26
193012,-0.23
193101,-0.19
193102,-0.17
193103,-0.13
193104,-0.14
193105,-0.16
193106,-0.19
